tb,Tub,Punjabi,1
pg,Dastar,Punjabi,1
hl,Plough,Punjabi,1
Gl,Send,Punjabi,1
tp,Jump,Punjabi,1
pr,But,Punjabi,1
hV,Flood,Punjabi,1
Gt,Less,Punjabi,1
Tg,Thug,Punjabi,1
Pl,Fruit,Punjabi,1
kl,Yesterday,Punjabi,1
cl,Move,Punjabi,1
qk,See,Punjabi,1
PV,Hold,Punjabi,1
kp,Cup,Punjabi,1
cb,Chew,Punjabi,1
qn,Body,Punjabi,1
bs,Bus,Punjabi,1
kj,Cover,Punjabi,1
cK,Taste,Punjabi,1
Qk,Tired,Punjabi,1
bl,Power,Punjabi,1
AKr,Word,Punjabi,1
kxk,Wheat,Punjabi,1
JgV,Quarrel,Punjabi,1
nrk,Hell,Punjabi,1
ArQ,Meaning,Punjabi,1
Kdr,Cloth,Punjabi,1
JVp,Argument,Punjabi,1
nrm,Soft,Punjabi,1
sPr,Journey,Punjabi,1
Krc,Spend,Punjabi,1
JKV,Storm,Punjabi,1
bld,Bull,Punjabi,1
sVk,Road,Punjabi,1
grm,Hot,Punjabi,1
tkr,Collision,Punjabi,1
br&,Ice,Punjabi,1
sbk,Lesson,Punjabi,1
cmk,Shine,Punjabi,1
Fkx,Lid,Punjabi,1
mtr,Peas,Punjabi,1
kmr,Back,Punjabi,1
cpl,Sandle,Punjabi,1
drd,Pain,Punjabi,1
Sbd,Word,Punjabi,1
kml,Lotus,Punjabi,1
cqr,Clever,Punjabi,1
Drm,Religion,Punjabi,1
Srq,Conditional,Punjabi,1
klm,Pen,Punjabi,1
jnm,Birth,Punjabi,1
nkl,Copy,Punjabi,1
^br,News,Punjabi,1
Adrk,Ginger,Punjabi,1
grdn,Neck,Punjabi,1
dsKq,Signature,Punjabi,1
brqn,Utensils,Punjabi,1
hrkq,Movement,Punjabi,1
glgl,Grapefruit,Punjabi,1
drjn,Dozen,Punjabi,1
mqlb,Meaning,Punjabi,1
hrmn,Famous,Punjabi,1
gVbV,Mess up,Punjabi,1
d&qr,Office,Punjabi,1
m^ml,Velvet,Punjabi,1
ksrq,Exercise,Punjabi,1
Jtpt,Instant,Punjabi,1
n&rq,Hate,Punjabi,1
Srbq,Syrup,Punjabi,1
KsKs,Poppy Seed,Punjabi,1
Qrms,Thermos,Punjabi,1
prbq,Mountain,Punjabi,1
Slgm,Turnip,Punjabi,1
Awsw,Hope,Punjabi,2
kwlw,Black,Punjabi,2
qwzw,Fresh,Punjabi,2
mwqw,Mother,Punjabi,2
Awtw,Flour,Punjabi,2
kwkw,Child,Punjabi,2
qwlw,Lock,Punjabi,2
Bwrw,Heavy,Punjabi,2
Awrw,Saw,Punjabi,2
cwcw,Uncle,Punjabi,2
dwdw,"Dad""s Father",Punjabi,2
mwmw,"Mum""s Brother",Punjabi,2
swrw,Everything,Punjabi,2
jwlw,Web,Punjabi,2
Dwgw,Thread,Punjabi,2
rwjw,King,Punjabi,2
hwsw,Laugh,Punjabi,2
qwrw,Star,Punjabi,2
nwnw,"Mum""s Father",Punjabi,2
vwjw,Harmonium,Punjabi,2
sw&,Clean,Punjabi,2
Cwl,Jump,Punjabi,2
qwp,Temperature,Punjabi,2
Xwd,Remember,Punjabi,2
hwr,Necklace,Punjabi,2
jwl,Net,Punjabi,2
Qwl,Plate,Punjabi,2
Xwr,Friend,Punjabi,2
Gwh,Grass,Punjabi,2
Fwl,Shield,Punjabi,2
nwl,Beside,Punjabi,2
rwz,Secret,Punjabi,2
cwr,Four,Punjabi,2
qwr,Wire,Punjabi,2
bwl,Child,Punjabi,2
lwl,Red,Punjabi,2
cwh,Tea,Punjabi,2
qwl,Rhythm,Punjabi,2
bwg,Garden,Punjabi,2
vwl,Hair,Punjabi,2
sdw,Always,Punjabi,2
ktw,Cut,Punjabi,2
clw,Drive,Punjabi,2
PVw,Give,Punjabi,2
szw,Punishment,Punjabi,2
kVw,Iron Bracelet,Punjabi,2
jlw,Burn,Punjabi,2
bxw,Make,Punjabi,2
hvw,Air,Punjabi,2
Krw,Pure,Punjabi,2
QVw,Step,Punjabi,2
Brw,Brother,Punjabi,2
hrw,Green,Punjabi,2
